광고그룹,키워드,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)"
대기업을 이기는 브랜딩 전략,브랜드아이덴티티,"1,963",2,0.12,"1,760","4,224"
대기업을 이기는 브랜딩 전략,브랜드런칭,"1,436",4,0.25,"1,167","4,202"
AOP 전체_중복키워드_디자인,포토샵CS2,"29,324",5,0.02,873,"4,191"
ㅍAOP 전체_중복키워드_디자인(삭제),포토샵사진보정,"7,352",4,0.05,"1,158","4,169"
내 아이템에 맞는 영상 콘텐츠 기획/제작,애프터이펙트,"1,804",2,0.13,"1,733","4,158"
영상 콘텐츠 디자인 유치원,영상기획,"1,029",5,0.47,862,"4,136"
Javascript 정복 프로젝트,AJAX,"9,197",6,0.07,688,"4,125"
SEO/SEM 전략,네이버키워드광고,"3,692",1,0.03,"3,419","4,103"
올인원 패키지 : 업무자동화_2. 파이썬,파이썬크롤링,"3,514",2,0.07,"1,705","4,092"
001.데이터분석/ 통계,시계열분석,"1,889",4,0.19,"1,134","4,081"
ㅍAOP 전체_중복키워드_디자인(삭제),포토샵CC2018,"2,234",5,0.21,848,"4,070"
올인원 패키지 : 1인 쇼핑몰 시작하기_02.쇼핑몰구축,쇼핑몰재고관리,"1,393",1,0.09,"3,383","4,059"
마케팅 유치원,마케팅종류,"5,226",5,0.09,836,"4,015"
1. 모바일앱개발_세부,모바일개발,"3,286",2,0.07,"1,664","3,993"
AOP 전체_중복키워드_디자인,포토샵교육,"2,803",1,0.04,"3,318","3,982"
ㅍ1. 전체,일러스트레이션,"2,818",1,0.04,"3,300","3,960"
실전 웹/앱 프로젝트 기획,앱만들기,"1,005",5,0.48,820,"3,938"
올인원 패키지 : 업무자동화_VBA,컴활1급실기인강,"2,207",17,0.76,234,"3,927"
AOP 전체_중복키워드_디자인,포토샵노트북,"9,559",6,0.06,636,"3,817"
AOP 전체_중복키워드_디자인,일러스트레이터CS6,"5,461",4,0.07,"1,054","3,795"
타이포그래피와 편집디자인,리플렛,"5,481",8,0.15,450,"3,784"
올인원 패키지 : 콘텐츠 마케팅_카피라이팅,유행어,"247,898",59,0.02,64,"3,773"
5. javascript,자바스크립트강좌,"3,095",1,0.04,"3,135","3,762"
다빈치리졸브와 컬러그레이딩,색보정,"1,943",10,0.49,391,"3,751"
ㅍAOP 전체_중복키워드_디자인(삭제),포토샵다운로드,"6,710",8,0.13,445,"3,740"
AOP 전체_중복키워드_디자인,포토샵CS5,"10,839",4,0.03,"1,033","3,718"
내 아이템에 맞는 영상 콘텐츠 기획/제작,유튜브편집,"2,547",2,0.09,"1,540","3,696"
올인원 패키지 : 콘텐츠 마케팅_콘텐츠 제작,페이스북카드뉴스,"1,521",6,0.39,601,"3,608"
올인원 패키지 : 금융공학/퀀_03.금융공학,주식선물,"13,038",1,0.01,"2,998","3,597"
포토샵 유치원_일러스트레이터 유치원,일러스트CS6,"5,763",4,0.06,999,"3,597"
왕초보의 파이썬 웹 프로그래밍 CAMP,웹프로그래머,"1,991",1,0.06,"2,961","3,553"
마케터를 위한 데이터 해석 실전,마케팅용어,"4,148",4,0.09,972,"3,498"
ㅍ1. 전체,북디자인,"1,826",2,0.13,"1,453","3,487"
올인원 패키지 : 브랜딩,브랜드스토리,"1,947",4,0.18,966,"3,476"
ㅍAOP 전체_중복키워드_프로그래밍(삭제),웹크롤링,"2,180",5,0.22,720,"3,454"
다빈치리졸브와 컬러그레이딩,블랙매직디자인,"1,718",10,0.56,359,"3,443"
fin_camp_rdev_4,부동산금융,"1,089",4,0.33,953,"3,432"
올인원 패키지 : 디지털 마케팅_트위터광고,트위터광고,"23,276",5,0.02,715,"3,432"
AOP 전체_중복키워드_디자인,포토샵다운로드,"12,288",8,0.07,407,"3,421"
다빈치리졸브와 컬러그레이딩,블랙매직,"14,191",11,0.08,307,"3,311"
#000_마케팅 전체_main,페이스북이벤트,"5,503",2,0.04,"1,370","3,289"
AOP 전체_중복키워드_디자인,포토샵7.0한글판,"1,356",4,0.27,908,"3,267"
007.빅데이터,키스톤,"6,258",4,0.06,901,"3,245"
올인원 패키지 : 1인 쇼핑몰 시작하기_04.호스팅사,카페24쇼핑몰,"2,646",2,0.09,"1,343","3,223"
올인원 패키지 : 1인 쇼핑몰 시작하기_01.플랫폼,11번가상품등록,"1,034",1,0.12,"2,668","3,201"
올인원 패키지 : 그로스해킹_1.용어,DASHBOARD,"4,591",4,0.08,886,"3,190"
타이포그래피와 편집디자인,편집,"50,324",10,0.02,332,"3,190"
포토샵 유치원_일러스트레이터 유치원,애니일러스트,"2,757",4,0.13,883,"3,179"
마케터를 위한 데이터 해석 실전,CRM,"2,956",2,0.08,"1,320","3,168"
영상 콘텐츠 디자인 유치원,영상편집,"3,482",4,0.10,865,"3,113"
#000_마케팅 전체_main,브랜딩,"5,615",5,0.09,649,"3,113"
AOP 전체_중복키워드_디자인,포토샵가격,"10,141",4,0.04,862,"3,102"
Vue로 구현하는 PWA CAMP,VUE,"3,197",8,0.26,369,"3,102"
올인원 패키지 : 업무자동화_3. 엑셀,INDEX,"56,779",8,0.01,369,"3,102"
#000_마케팅 전체_main,CPA광고,"1,164",4,0.31,859,"3,091"
8. 시스템 프로그래밍,UBUNTU,"27,155",14,0.05,215,"3,091"
상업용 부동산 실무 입문 4기,10억건물,"1,976",2,0.12,"1,283","3,080"
올인원 패키지 : 업무자동화_4. VBA,SELENIUM,"4,355",2,0.06,"1,274","3,058"
Vue로 구현하는 PWA CAMP,웹앱,"1,688",1,0.07,"2,539","3,047"
ㅍAOP 전체_중복키워드_마케팅(삭제),웹로그분석,"5,731",1,0.02,"2,521","3,025"
쉽고 재미있는 재무제표 분석 17기,재무제표,"15,977",6,0.04,501,"3,003"
001.데이터분석/ 통계,SPSS,"11,584",2,0.02,"1,247","2,992"
AOP 전체_중복키워드_비지니스,엑셀온라인,"1,195",4,0.30,828,"2,981"
001.데이터분석/ 통계,BIGDATA,"1,145",2,0.21,"1,238","2,970"
ㅍAOP 전체_중복키워드_마케팅(삭제),마케팅분석,"4,966",1,0.02,"2,457","2,948"
002.R,R프로그램,"1,195",4,0.30,810,"2,915"
마케팅KPI수립,OKR,"7,007",14,0.21,202,"2,915"
대기업을 이기는 브랜딩 전략,브랜드전략,"1,688",2,0.14,"1,192","2,860"
실전 웹 UX/UI 디자인,웹디자인프로그램,"1,339",4,0.27,794,"2,860"
#000_마케팅 전체_main,체험단마케팅,"1,584",4,0.23,791,"2,849"
타이포그래피와 편집디자인,손글씨,"55,942",10,0.02,296,"2,838"
Python & Django를 활용한 웹 서비스_개발자,FLASK,"1,655",4,0.22,785,"2,827"
8. 시스템 프로그래밍,시스템프로그래밍,"3,342",4,0.11,785,"2,827"
1_2 대표 경쟁,실무교육,"28,711",4,0.01,785,"2,827"
AOP 전체_중복키워드_디자인,포토샵라이트룸,"2,646",7,0.27,393,"2,827"
OpenCV와 함께하는 컴퓨터 비전 프로그래밍,MFC,"1,763",1,0.07,"2,338","2,805"
Java 웹 프로그래밍 마스터 4기 : 3개월,JAVA,"8,254",1,0.01,"2,328","2,794"
올인원 패키지 : 업무자동화_4. VBA,EXCELVBA,"1,086",6,0.55,466,"2,794"
타이포그래피와 편집디자인,비주얼씽킹,"17,543",12,0.07,232,"2,783"
002.R,깃허브,"12,850",4,0.03,764,"2,750"
#000_마케팅 전체_main,병원마케팅,"1,305",4,0.28,758,"2,728"
포토샵 유치원_일러스트레이터 유치원,타이포그라피,"6,776",2,0.04,"1,128","2,706"
올인원 패키지 : 그로스해킹_2.그로스해킹,CAC,"2,538",2,0.09,"1,118","2,684"
타이포그래피와 편집디자인,캘리그라피폰트,"5,968",6,0.10,446,"2,673"
001.BASIC DESIGN,ADOBEXD,"5,524",8,0.15,310,"2,607"
실전 웹/앱 프로젝트 기획,모바일앱,"17,000",4,0.02,715,"2,574"
올인원 패키지 : 투자_파워콘텐츠,연금펀드,"1,574",40,2.52,65,"2,574"
크리에이티브 전체,디자인,"25,257",11,0.04,236,"2,552"
마케팅 전체,마케터,"7,341",10,0.13,262,"2,519"
마케팅KPI수립,KPI지표,"2,820",11,0.38,233,"2,519"
크리에이티브 전체,디자인서적,"3,055",14,0.47,171,"2,464"
마케팅 전체,마케팅스터디,"1,146",13,1.15,185,"2,442"
올인원 패키지 : 업무자동화_4. VBA,VBA기초,"1,575",4,0.23,672,"2,420"
실전 웹/앱 프로젝트 기획,기획강의,"1,640",14,0.88,167,"2,409"
파이썬을 통한 금융 데이터 수집과 분석 자동화 16기,CSV,"65,861",10,0.01,250,"2,398"
프로그래밍 전체,백엔드,"14,685",10,0.07,248,"2,376"
포토샵 유치원_일러스트레이터 유치원,ILLUST,"77,164",18,0.02,132,"2,376"
올인원 패키지 : 영상 제작/편집_6.프리미어프로,오디오편집,"3,771",4,0.10,657,"2,365"
올인원 패키지 : 리더를 위한 HR/인재경영_1.인재,인사고과,"9,059",4,0.04,648,"2,332"
올인원 패키지 : 1인 쇼핑몰 시작하기_06.해외쇼핑몰,직구쇼핑몰,"1,654",12,0.73,194,"2,332"
002.UX/UI,SKETCH,"6,498",17,0.26,139,"2,332"
ㅍAOP 전체_중복키워드_디자인(삭제),포토샵CC,"15,679",2,0.02,953,"2,288"
리눅스 인프라,우분투,"20,887",5,0.02,477,"2,288"
6. 파이썬,파이썬프로그램,"2,667",1,0.04,"1,879","2,255"
fin_camp_modeling_15,모델링,"13,851",5,0.03,468,"2,244"
#000_마케팅 전체_main,광고대행,"1,362",2,0.18,912,"2,189"
Python & Django를 활용한 웹 서비스_일반,파이참,"3,663",1,0.03,"1,806","2,167"
fin_camp_feasibilitystudy_18,현금흐름,"3,510",4,0.10,599,"2,156"
올인원 패키지 : 금융공학/퀀트_01.파이썬기본&자동화,볼린저밴드,"33,696",5,0.01,447,"2,145"
올인원 패키지 : 리더를 위한 HR/인재경영_1.인재,인사노무,"2,296",1,0.05,"1,769","2,123"
실전 웹 UX/UI 디자인,RFP,"22,055",6,0.03,354,"2,123"
올인원 패키지 : 디지털 마케팅_8. 검색 마케팅,검색광고,"3,886",2,0.06,871,"2,090"
파이낸스 전체,퀀트투자,"5,916",8,0.14,249,"2,090"
Vue.js 정복 CAMP,VUE,"4,149",6,0.14,345,"2,068"
영상 콘텐츠 디자인 유치원,트랜스폼,"70,543",7,0.01,287,"2,068"
AOP 전체_중복키워드_디자인,인디자인자격증,"1,553",1,0.08,"1,714","2,057"
타이포그래피와 편집디자인,켈리그라피,"4,022",5,0.12,426,"2,046"
파이낸스 전체,부동산스터디,"196,862",13,0.01,155,"2,046"
올인원 패키지 : 1인 쇼핑몰 시작하기_01.플랫폼,오픈마켓입점,"1,337",1,0.09,"1,696","2,035"
건강한 조직을 만드는 HR 전략 WORKSHOP,인재개발,"4,270",2,0.06,848,"2,035"
크리에이티브 전체,디자인스터디,"1,653",16,0.94,130,"2,035"
007.빅데이터,클라우드서버,"1,152",2,0.21,825,"1,980"
올인원 패키지 : 영상 제작/편집_9.유튜브/유튜버,유튜버시작,"1,946",2,0.12,825,"1,980"
딥러닝으로 배우는 병렬처리 CAMP,CUDA,"2,158",5,0.22,413,"1,980"
AOP 전체_중복키워드_디자인,어도비인디자인,"7,111",1,0.02,"1,641","1,969"
#000_마케팅 전체_main,파워블로그,"4,889",2,0.05,807,"1,936"
올인원 패키지 : 콘텐츠 마케팅_카피라이팅,홍보문구,"7,983",4,0.05,538,"1,936"
1. 코딩,코딩스터디,"2,599",8,0.32,225,"1,892"
파이썬을 통한 금융 데이터 수집과 분석 자동화 16기,투자기법,"3,197",6,0.19,314,"1,881"
data_camp_rmp_8,데이터분석가,"6,561",2,0.04,779,"1,870"
올인원 패키지 : 리더를 위한 HR/인재경영_1.인재,직원평가,"13,926",2,0.02,779,"1,870"
올인원 패키지 : 영상 제작/편집_3.촬영 기법/장비1,카메라촬영,"1,928",1,0.06,"1,549","1,859"
AOP 전체_중복키워드_마케팅,구글광고,"4,699",1,0.03,"1,531","1,837"
올인원 패키지 : 콘텐츠 마케팅_대표키워드,콘텐츠디자인,"2,356",6,0.25,306,"1,837"
왕초보의 파이썬 웹 프로그래밍 CAMP,DJANGO,"2,105",7,0.34,252,"1,815"
파이썬을 통한 금융 데이터 수집과 분석 자동화 16기,PANDAS,"3,331",5,0.14,367,"1,760"
AOP 전체_중복키워드_비지니스,엑셀VBA,"4,085",4,0.09,483,"1,738"
1. 전체,포토샵누끼따기,"25,020",8,0.03,207,"1,738"
#000_마케팅 전체_main,키워드검색,"16,340",2,0.01,710,"1,705"
타이포그래피와 편집디자인,TYPO,"13,427",7,0.05,235,"1,694"
Javascript 정복 프로젝트,SPA,"2,065",1,0.06,"1,393","1,672"
타이포그래피와 편집디자인,CI,"3,261",4,0.11,461,"1,661"
올인원 패키지 : 영상 제작/편집_2.영상제작이론,콘티,"61,806",4,0.01,461,"1,661"
딥러닝으로 배우는 병렬처리 CAMP_구버전,멀티코어,"2,511",1,0.05,"1,375","1,650"
파이썬을 통한 금융 데이터 수집과 분석 자동화 16기,거래량분석,"1,299",4,0.28,455,"1,639"
리눅스 인프라,MARIADB,"2,014",4,0.18,455,"1,639"
리눅스 인프라,MYSQL,"2,433",1,0.05,"1,357","1,628"
리눅스 인프라,VMWARE,"18,524",1,0.01,"1,357","1,628"
#000_마케팅 전체_main,검색엔진,"32,332",5,0.01,337,"1,617"
ㅍAOP 전체_중복키워드_디자인(삭제),GTQ포토샵2급,"2,158",1,0.06,"1,338","1,606"
data_camp_pcda_3,파이썬활용,"1,460",2,0.16,669,"1,606"
포토샵 유치원_일러스트레이터 유치원,벡터이미지,"2,344",4,0.15,446,"1,606"
6.  컴퓨터구조,프로세서,"11,827",4,0.03,446,"1,606"
올인원 패키지 : 콘텐츠 마케팅_대표키워드,SNS이벤트,"6,953",1,0.02,"1,320","1,584"
007.빅데이터,오픈소스,"3,329",1,0.04,"1,311","1,573"
마케팅 유치원,마케팅업무,"2,175",5,0.22,319,"1,529"
001.BASIC DESIGN,포토샵CS6,"13,573",4,0.03,422,"1,518"
1. 모바일앱개발_교육,코틀린,"1,786",6,0.34,251,"1,507"
1. 전체,포토샵초보,"1,494",1,0.08,"1,238","1,485"
4. 웹의 동작,SOAP,"22,522",4,0.02,413,"1,485"
7. 운영체제,가상메모리,"94,933",23,0.02,64,"1,463"
올인원 패키지 : 업무자동화_2. 파이썬,구글스프레드시트,"57,276",7,0.01,200,"1,441"
#000_마케팅 전체_main,스포츠마케팅,"7,860",2,0.03,596,"1,430"
리눅스 인프라,리눅스,"1,345",1,0.09,"1,183","1,419"
포토샵 유치원_일러스트레이터 유치원,일러스트프로그램,"4,395",1,0.03,"1,173","1,408"
올인원 패키지 : 업무자동화_3. 엑셀,엑셀초급,"1,800",2,0.13,587,"1,408"
올인원 패키지 : 리더를 위한 HR/인재경영_2.리더십,조직문화,"8,244",2,0.03,587,"1,408"
타이포그래피와 편집디자인,캘러그라피,"1,131",4,0.32,391,"1,408"
모바일 앱 GUI 포트폴리오 디자인 LAB,디자인사이트,"2,739",2,0.09,582,"1,397"
typescript 실전 workshop,JS,"32,315",12,0.04,116,"1,397"
리눅스 인프라,NOVA,"3,139",2,0.08,578,"1,386"
003.파이썬,전처리,"5,089",1,0.02,"1,146","1,375"
#000_마케팅 전체_main,페이스북광고하는법,"1,048",2,0.23,568,"1,364"
올인원 패키지 : 투자_파워콘텐츠,주식어플,"1,349",16,1.16,87,"1,353"
1. 전체,일러스트레이터기초,"1,790",1,0.07,"1,118","1,342"
머신러닝을 위한 선형대수학,이산수학,"1,957",1,0.06,"1,118","1,342"
올인원 패키지 : 파이썬 웹 개발_2.프론트엔드기초,CSS,"6,853",1,0.02,"1,118","1,342"
003.파이썬,파이선,"1,357",1,0.09,"1,109","1,331"
Vue로 구현하는 PWA CAMP,REACTNATIVE,"1,057",4,0.34,370,"1,331"
올인원 패키지 : 업무자동화_3. 엑셀,엑셀기초,"3,972",1,0.03,"1,100","1,320"
AOP 전체_중복키워드_디자인,포토샵로고만들기,"6,847",1,0.02,"1,100","1,320"
6_스타트업 M&A에 대한 단상(스타트업),스타트업취업,"1,928",4,0.19,367,"1,320"
마케팅 전체,프로모션,"82,858",7,0.01,183,"1,320"
크리에이티브 전체,BX,"8,349",6,0.07,216,"1,298"
마케팅KPI수립,핵심성과지표,"5,031",10,0.19,135,"1,298"
007.빅데이터,PAAS,"1,223",1,0.10,"1,073","1,287"
002.R,마크다운,"62,559",11,0.02,119,"1,287"
올인원 패키지 : 영상 제작/편집_3.촬영 기법/장비1,촬영기법,"46,646",14,0.03,89,"1,287"
ㅍAOP 전체_중복키워드_디자인(삭제),포토샵로고만들기,"3,696",1,0.03,"1,063","1,276"
올인원 패키지 : 업무자동화_3. 엑셀,MID,"14,709",5,0.03,266,"1,276"
프로그래밍 전체,VR,"25,634",5,0.02,266,"1,276"
data_camp_pcda_3,LEAFLET,"9,288",2,0.03,527,"1,265"
1. 전체,포토샵책,"5,034",5,0.10,264,"1,265"
ㅍAOP 전체_중복키워드_디자인(삭제),포토샵누끼,"5,290",2,0.05,523,"1,254"
ㅍAOP 전체_중복키워드_디자인(삭제),포토샵가격,"5,983",1,0.02,"1,036","1,243"
data_camp_rmp_8,R설치,"3,125",2,0.08,513,"1,232"
iOS 개발 스쿨 9기_기존 키워드,앱스토어,"126,393",19,0.02,63,"1,210"
007.빅데이터,오픈플랫폼,"1,244",1,0.10,999,"1,199"
올인원 패키지 : 디지털 마케팅_1. 디지털 마케팅,RTB,"3,946",4,0.09,330,"1,188"
7. 운영체제,OS,"90,041",8,0.01,141,"1,188"
8. 시스템 프로그래밍,UNIX,"7,070",1,0.02,972,"1,166"
ㅍ올인원 패키지 : UX/UI 디자인 입문_연관검색어(삭제),UX,"7,229",1,0.02,963,"1,155"
AOP 전체_중복키워드_디자인,인디자인CC,"1,085",1,0.11,944,"1,133"
고객의 마음을 읽는 구글애널리틱스,구글자격증,"1,124",4,0.32,315,"1,133"
마케팅 전체,데이터마케팅,"1,033",5,0.46,234,"1,122"
비즈니스 전체,전략기획,"21,278",6,0.03,187,"1,122"
비즈니스 전체,VC,"25,503",10,0.04,117,"1,122"
#000_마케팅 전체_main,검색광고,"2,153",1,0.06,917,"1,100"
AOP 전체_중복키워드_마케팅,컨텐츠기획,"2,575",1,0.05,917,"1,100"
AOP 전체_중복키워드_디자인,포토샵7.0,"10,013",4,0.04,306,"1,100"
1. 경영 일반,경영전략,"11,662",1,0.01,908,"1,089"
6.  컴퓨터구조,컴퓨터CPU,"3,419",2,0.07,454,"1,089"
#000_마케팅 전체_main,페이스북팔로워늘리기,"1,074",5,0.45,227,"1,089"
ㅍAOP 전체_중복키워드_디자인(삭제),포토샵프로그램,"2,813",1,0.04,898,"1,078"
2_투자유치를 위한 사업계획서 작성(투자유치),투자유치,"5,741",1,0.02,898,"1,078"
data_camp_rmp_8,GLM,"21,656",12,0.06,90,"1,078"
#000_마케팅 전체_main,바이럴마케팅대행,"2,409",1,0.05,889,"1,067"
data_camp_rmp_8,데이터분석전문가,"1,109",2,0.22,440,"1,056"
타이포그래피와 편집디자인,캘라그라피,"1,439",2,0.17,440,"1,056"
올인원 패키지 : 그로스해킹_1.용어,ROI,"22,899",2,0.01,440,"1,056"
fin_camp_feasibilitystudy_18,WACC,"1,505",2,0.16,435,"1,045"
1. 일반_PC,게임책,"1,263",5,0.38,218,"1,045"
LaTeX를 활용한 효율적 논문작성 Workshop,논문작성,"4,917",1,0.02,862,"1,034"
typescript 실전 workshop,GENERIC,"9,740",4,0.04,287,"1,034"
007.빅데이터,데이터웨어하우스,"1,025",1,0.12,853,"1,023"
001.BASIC DESIGN,포토샵,"6,199",2,0.04,426,"1,023"
1. 전체,스케치프로그램,"3,322",10,0.29,107,"1,023"
#000_마케팅 전체_main,구글광고,"2,197",1,0.05,843,"1,012"
006.딥러닝,강화학습,"3,074",2,0.08,422,"1,012"
AOP 전체_중복키워드_비지니스,엑셀기초,"1,815",1,0.07,834,"1,001"
7. 운영체제,컴퓨터사이언스,"3,018",6,0.20,167,"1,001"
올인원 패키지 : 1인 쇼핑몰 시작하기_01.플랫폼,11번가판매자,"4,948",4,0.07,275,990
1. 모바일앱개발_교육,KOTLIN,"1,175",4,0.31,269,968
프로그래밍 유치원,HTML태그,"5,099",1,0.02,798,957
올인원 패키지 : 디자인 툴_파워컨텐츠_포토샵,디자이너,"1,438",2,0.17,399,957
ㅍAOP 전체_중복키워드_디자인(삭제),어도비인디자인,"4,362",1,0.03,788,946
typescript 실전 workshop,디버깅,"17,676",1,0.01,788,946
data_camp_pcda_3,SELENIUM,"1,396",2,0.17,394,946
파이낸스 전체,투자,"10,338",4,0.03,263,946
비즈니스 전체,HRD,"1,795",4,0.20,260,935
UX 디자인 실전,와이어프레임,"1,769",1,0.07,770,924
5_초기 스타트업 실제 투자사례(창업자),스타트업정부지원,"1,186",1,0.10,761,913
ㅍAOP 전체_중복키워드_디자인(삭제),포토샵보정,"13,096",1,0.01,761,913
1. 경영 일반,경영학,"2,144",2,0.11,380,913
디지털 마케팅,디지털마케팅서밋,"2,753",2,0.09,380,913
올인원 패키지 : 리더를 위한 HR/인재경영_5.HR,인사업무,"5,261",2,0.05,380,913
올인원 패키지 : 영상 제작/편집_4.포토샵,유튜브자막,"7,277",2,0.03,362,869
올인원 패키지 : 업무자동화_3. 엑셀,엑셀서식,"22,362",2,0.01,362,869
ㅍ1. 전체,ADOBEXD,"1,401",5,0.34,181,869
프로그래밍 유치원,SCSA,"2,397",2,0.10,358,858
1. 전체,일러스트레이터책,"1,068",4,0.34,238,858
비즈니스 전체,스타트업,"33,549",4,0.01,238,858
ㅍ1. 전체,포토샵누끼따기,"12,311",5,0.04,176,847
블록체인 신사업 시작하기,블록체인스타트업,"1,051",4,0.34,226,814
ㅍAOP 전체_중복키워드_디자인(삭제),어도비XD,"3,061",5,0.16,170,814
올인원 패키지 : 영상 제작/편집_3.촬영 기법/장비1,영상촬영기법,"1,138",1,0.11,669,803
7. 운영체제,OPERATINGSYSTEM,"9,885",4,0.04,223,803
2_투자유치를 위한 사업계획서 작성(투자유치),시장경쟁,"58,564",7,0.01,110,792
Python & Django를 활용한 웹 서비스_일반,파이썬책,"1,298",1,0.09,651,781
인디자인 유치원,어도비인디자인,"2,230",1,0.05,642,770
올인원 패키지 : FAST MBA_파워컨텐츠_아마존,경영지도사,"2,312",12,0.52,64,770
3. html,HTMLTABLE,"43,307",12,0.03,64,770
005.머신러닝,인공신경망,"2,090",2,0.11,316,759
건강한 조직을 만드는 HR 전략 WORKSHOP,인사직무,"4,594",5,0.10,156,748
007.빅데이터,MSAZURE,"1,504",1,0.08,614,737
AOP 전체_중복키워드_디자인,어도비XD,"2,659",4,0.14,205,737
fin_camp_feasibilitystudy_18,DCF,"2,638",1,0.05,587,704
데이터 사이언스 전체,R,"13,350",4,0.03,196,704
1. 컴퓨터공학 일반,컴공전망,"1,148",1,0.10,578,693
1. 전체,영상에자막넣기,"1,673",1,0.07,578,693
LaTeX를 활용한 효율적 논문작성 Workshop,TEMPLATE,"19,443",1,0.01,578,693
fin_camp_feasibilitystudy_18,NPV,"2,204",1,0.05,568,682
올인원 패키지 : 영상 제작/편집_1.크리에이터,크리에이터,"3,326",2,0.07,284,682
프로그래밍 전체,AR,"2,728",2,0.09,275,660
비즈니스 전체,서비스기획,"3,369",4,0.11,183,660
올인원 패키지 : 그로스해킹_1.용어,ROAS,"5,485",1,0.02,541,649
올인원 패키지 : 영상 제작/편집_3.촬영 기법/장비1,영상용카메라,"1,197",1,0.10,532,638
마케팅 전체,KPI,"26,574",7,0.03,89,638
인디자인 유치원,인디자인,"1,468",1,0.08,523,627
올인원 패키지 : 1인 쇼핑몰 시작하기_01.플랫폼,11번가입점,"1,580",1,0.08,523,627
올인원 패키지 : 1인 쇼핑몰_00.창업_MO,여자쇼핑몰,"1,449",4,0.25,174,627
파이낸스 전체,재무,"19,004",4,0.02,174,627
비즈니스 전체,인사교육,"2,585",2,0.09,257,616
1. 전체,프로토파이,"1,808",10,0.53,64,616
올인원 패키지 : 파이썬 웹 개발_4.Django,도커,"1,188",1,0.10,504,605
올인원 패키지 : 1인 쇼핑몰 시작하기_00.창업_PC,쇼핑몰오픈,"1,027",1,0.12,495,594
데이터 사이언스 전체,파이썬독학,"1,282",2,0.19,248,594
Vue.js 정복 CAMP,VUE.JS,"2,208",7,0.33,83,594
data_camp_pcda_3,파이썬이란,"1,127",1,0.11,486,583
올인원 패키지 : 업무자동화_3. 엑셀,엑셀차트,"9,438",1,0.01,486,583
ㅍAOP 전체_중복키워드_디자인(삭제),포토샵라이트룸,"1,735",1,0.07,477,572
data_camp_pcda_3,JUPYTERNOTEBOOK,"5,559",5,0.09,119,572
001.BASIC DESIGN,포토샾,"1,197",1,0.10,468,561
8. 시스템 프로그래밍,리눅스란,"1,405",1,0.09,468,561
타이포그래피와 편집디자인,편집디자이너,"2,458",1,0.05,458,550
5_초기 스타트업 실제 투자사례(창업자),창업자,"6,301",1,0.02,458,550
올인원 패키지 : 리더를 위한 HR/인재경영_3.온보딩,인사부,"11,416",8,0.07,65,550
1. 전체,재플린,"1,756",4,0.21,150,539
#000_마케팅 전체_main,페이스북픽셀,"13,853",8,0.06,64,539
3. 파이썬,COMMIT,"66,701",8,0.01,64,539
ㅍAOP 전체_중복키워드_마케팅(삭제),GAIQ,"1,030",1,0.12,440,528
다빈치리졸브와 컬러그레이딩,그레이딩,"1,945",1,0.06,440,528
리눅스 인프라,도커,"3,387",1,0.04,440,528
